,id,name,beginYear,endYear,description,countries
37,035b696a-a14e-4121-95da-44b75d17eea1,2011 Event 24,2011,2011,"A Twitter post insults the most left groups in the United States as extremist and labels them as ""Social Justice Warriors"". The extremist on the right group, primarily the Neo-Nazis grow further apart and the event has since divided the country between two opposing hate groups.",[]
38,0376ef13-e1f6-413f-941e-29a34defc0ea,1930 Event 8,1930,1930,"September 14: Aided by the Great Depression, the Nazi Party increases its share of the vote from 2.6% to 18.3%.",[]
39,0391c7bb-22ed-4904-9997-960dcda48126,2000 Event 4,2000,2000,March 26: Vladimir Putin is elected President of Russia.,[]
40,03c621ee-7f7f-4e87-93c8-f76e34c209ba,1795 Event 1,1795,1795,1795: Pinckney's Treaty between the United States and Spain grants the Mississippi Territory to the U.S.,[]
41,03e11331-7e24-4233-ad91-9a8f85fff315,1794 Event 1,1794,1794,1794: The Mysteries of Udolpho by Ann Radcliffe published.,[]
42,03ec683a-2407-482d-a9ee-6e8567378efd,2000 Event 11,2000,2000,July 9: Philippine military captures Camp Abubakar in Mindanao from the Moro Islamic Liberation Front.,[]
43,03f410a6-e60d-40c6-978c-27025d80cee7,2017 Event 1,2017,2017,January 20: Donald Trump is inaugurated as President of the United States.,[]
44,03f594a6-9f14-4e49-9e2f-0fcbae8ee5c0,2016 Event 25,2016,2016,"The President of Brazil, Dilma Rousseff, is impeached.",[]
45,040e46d9-e0dd-42c8-80a8-9821b2f99a73,1999 Event 6,1999,1999,"April 20: The Columbine High School massacre in Colorado, United States, causes 15 deaths.",[]
46,04414b2c-e015-4a8f-84bb-0bbee10e839e,1541 Event 1,1541,1541,1541: Pedro de Valdivia founds Santiago de Chile.,[]
47,044b1c5c-962e-459f-a8b2-0a71e8da8b06,1915 Event 2,1915,1915,April 24: The deportation of Armenian leaders and notables in Constantinople signals the onset of the Armenian Genocide.,[]
48,04638545-c88b-44a1-afb3-8ea81c40a790,1623 Event 1,1623,1623,"1623: In a notorious but disputed incident, known as the 'Amboyna massacre', ten English and ten Japanese traders are arrested, tried and beheaded for conspiracy against the Dutch Government.&#91;5&#93; The English quietly withdraw from most of their Indonesian activities (except trading in Bantam) and focus on other Asian interests.",[]
49,0476c494-45c4-4e54-a971-1a38d8b66e59,1783 Event 1,1783,1783,1783: Montgolfier brothers invent hot air balloon.,[]
50,04930ae0-3f0c-467d-bbc3-0ee85c40ccc2,1972 Event 5,1972,1972,March 27: The First Sudanese Civil War ends.,[]
51,0499c85a-9381-49a7-b926-1b84b7576adf,1655 Event 1,1655,1655,"1655: The English, led by Sir William Penn and General Robert Venables, took over the last Spanish fort in Jamaica.",[]
52,04a7d2a3-8c3d-4585-bff8-585501505212,1644 Event 1,1644,1644,1644: The Manchu conquer China ending the Ming dynasty. The subsequent Qing dynasty rules until 1912.,[]
53,04b52b48-4f07-4c04-8d63-aec6a9f46fa7,1876 Event 1,1876,1876,1876–1879: 13 million Chinese die of famine in northern China.,[]
54,04b8e050-19bc-4aad-b67a-cb1094277da6,1908 Event 4,1908,1908,June 30: The Tunguska impact devastates thousands of square kilometres of Siberia.,[]
55,04d984df-d24f-42b0-84e3-e8ceb7ef62f5,1958 Event 4,1958,1958,July – October: 1958 Lebanon crisis.,[]
56,04e42040-6d09-4031-97b8-31c608da1a96,1994 Event 4,1994,1994,"February 25: Cave of the Patriarchs massacre in the West Bank, a shooting massacre carried out by American-Israeli Baruch Goldstein, which resulted in 30 deaths and 125 injuries.",[]
57,04ff6b31-1dcc-481f-8275-7c09e983a44f,1964 Event 2,1964,1964,February 7: The Beatles' first visit to the United States.,[]
58,0509a7b2-a91f-4204-abe0-6608b33e04fb,1610 Event 1,1610,1610,1610: King Henry IV of France is assassinated by François Ravaillac.,[]
59,050d4ba0-02a6-4e16-af08-3145729297f7,2021 Event 69,2021,2021,December 16–18: Typhoon Rai lashes into Philippines.,"[{'id': '04278264-df91-4404-8c38-e10b77fcd382', 'name': 'Philippines'}]"
60,050d624c-d171-4b1b-bf25-b0beb6da4e5b,1991 Event 36,1991,1991,Beginning of the Somali Civil War.,[]
61,05313d6d-cff4-4bd0-93c3-a84ac6addcc6,1987 Event 20,1987,1987,World population reaches five billion.,[]
62,05439ec3-ff26-416e-8e02-a345e0f68def,2017 Event 15,2017,2017,"October 28: 'Oumuamua, the first known interstellar object, is identified.",[]
63,0545841a-f227-4a08-9336-40b8cf248067,1659 Event 1,1659,1659,1659: Richard Cromwell is pressured into dissolving the Protectorate; the Rump Parliament is restored.,[]
64,054ce3af-4aa8-4dee-8d2d-a743f5e89dc0,1910 Event 6,1910,1910,August 28: Kingdom of Montenegro is proclaimed independent.,[]
65,0565d8e7-99c9-440a-9d7e-bf59c8ce31d7,2022 Event 26,2022,2022,August: Oder environmental disaster,[]
66,056620b3-93a1-4200-b288-512b31b76743,1904 Event 4,1904,1904,June 21: Trans-Siberian railway is completed.,[]
67,05773b91-6b19-4a28-b8d1-28226a457baf,1662 Event 1,1662,1662,"1662: Koxinga captures Taiwan from the Dutch and founds the Kingdom of Tungning, which rules until 1683.",[]
68,057bac74-5585-44ad-8b77-523a917766aa,1608 Event 1,1608,1608,1608: Quebec City founded by Samuel de Champlain in New France (present-day Canada).,[]
69,05c466cd-2233-4a99-8c11-31240b7e4b5a,2022 Event 6,2022,2022,Mahsa Amini protests,[]
70,05dc704f-e910-418f-9323-698c24766dd9,1906 Event 5,1906,1906,October 23: Brazilian inventor Alberto Santos-Dumont takes off and flies his 14-bis to a crowd in Paris.,[]
71,0600d97f-284f-4630-a931-f7a9d46e480d,1602 Event 1,1602,1602,"1602: June, British East India Company's first voyage, commanded by Sir James Lancaster, arrives in Aceh and sails on to Bantam where he is allowed to build trading post which becomes the centre of British trade in Indonesia until 1682.&#91;2&#93;",[]
